Cell,Type
D14HB47NeoCP6BSA,L4_Rorb_Mme
E14HB47NeoCP6BSA,L4_Rorb_Mme
G15HB47NeoCP6BSA,L4_Rorb_Met
B21HB47NeoCP10,L4_Rorb_Met
F04HB47NeoCP4,L4_Rorb_Met
C07HB47NeoCP4BSA,L4_Rorb_Met
G03HB47NeoCP8,L4_Rorb_Met
D12HB47NeoCP6BSA,L4_Rorb_Met
C16HB47NeoCP9,L4_Rorb_Met
G04HB47NeoCP8,L4_Rorb_Mme
F11HB47NeoCP8,L4_Rorb_Mme
G23HB47NeoCP7,L4_Rorb_Met
A21HB47NeoCP7,L4_Rorb_Mme
F08HB47NeoCP8,L4_Rorb_Mme
C19HB47NeoCP10,L4_Rorb_Mme
H08HB47NeoCP8,L4_Rorb_Met
D18HB47NeoCP7Add,L4_Rorb_Met
E01HB47NeoCP8,L4_Rorb_Met
F24HB47NeoCP11,L4_Rorb_Met
F02HB47NeoCP8,L4_Rorb_Met
G18HB47NeoCP7,L4_Rorb_Met
B03170707P3,L2_3_Cux2_Frem3
H01170707P3,L2_3_Cux2_Frem3
B10170707P1,L2_3_Cux2_Frem3
H09MGE171027P3,L2_3_Cux2_Frem3
H05170707P3,L2_3_Cux2_Frem3
B04170918P3,L2_3_Cux2_Frem3
E05170707P3,L2_3_Cux2_Frem3
C21HB47NeoCP7,L3_Cux2_Prss12
F10170918P2,L2_3_Cux2_Frem3
D01HB47NeoCP1,L5_6_Themis_Sema3a
H02MGE171027P1,L2_3_Cux2_Frem3
D10170707P1,L2_3_Cux2_Frem3
G23HB47NeoCP11,L3_Cux2_Prss12
G05MGE171027P2,L2_3_Cux2_Frem3
A10170918P2,L2_3_Cux2_Frem3
H02170707P3,L2_3_Cux2_Frem3
G02MGE171027P1,L2_3_Cux2_Frem3
C01HB47NeoCP1,L5_6_Themis_Sema3a
C10MGE171027P3,L5_6_Themis_Sema3a
H06170918P3,L2_3_Cux2_Frem3
F05MGE171027P2,L2_3_Cux2_Frem3
C02170918P3,L4_Rorb_Mme
D07170918P3,L2_3_Cux2_Frem3
H20huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
A21huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Abo
G01huNucEpPt19NCNeuNLTSOP3,L3_Cux2_Prss12
D07huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Sema3a
G02huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
E04huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
G17huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
E14huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Tle4_Abo
A16huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
A14huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
H23huNucEpPt19NCLTSOP5BIO,L2_3_Cux2_Frem3
D04huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Sema3a
E01huNucEpPt19NCLTSOP5BIO,L5_6_Fezf2_Lrrk1_Pcp4
E10huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
H13huNucEpPt19NCLTSOP1BIO,L2_Cux2_Lamp5
B09huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Tle4_Scube1
E07huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
C24huNucEpPt19NCLTSOP5BIO,L2_Cux2_Lamp5
A05huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
D08huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
E24huNucEpPt19NCLTSOP5BIO,L5_6_Themis_Sema3a
B21huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
A12huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
D07huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
G19huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
E11huNucEpPt19NCMGELTSOPX,L5_6_Themis_Sema3a
A09huNucEpPt19NCLTSOP3BIO,L2_Cux2_Lamp5
E12huNucEpPt19NCMGELTSOPX,L3_Cux2_Prss12
H03huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Tle4_Htr2c
A10huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Sema3a
G01huNucEpPt19NCLTSOP5BIO,L2_3_Cux2_Frem3
E05huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
B07huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
H15huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Ntng2
F20huNucEpPt19NCNeuNLTSOP3,L4_Rorb_Met
H05huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
H16huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
C09huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Tle4_Htr2c
B15huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
C05huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
B12huNucEpPt19NCMGELTSOPX,L5_6_Fezf2_Lrrk1_Pcp4
C06huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
C12huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
A03huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
F16huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Tle4_Abo
B10huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
F23huNucEpPt19NCNeuNLTSOP3,L3_Cux2_Prss12
F10huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
G24huNucEpPt19NCLTSOP5BIO,L5_6_Fezf2_Lrrk1_Pcp4
A10huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
E01huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Pcp4
H05huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
G20huNucEpPt19NCLTSOP6BIO,L5_6_Fezf2_Lrrk1_Pcp4
H17huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
A11huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
E23huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
H14huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
D14huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
C22huNucEpPt19NCLTSOP6BIO,L5_6_Themis_Sema3a
E21huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Htr2c
F10huNucEpPt19NCMGELTSOPX,L3_Cux2_Prss12
F03huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Ntng2
F05huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
H12huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Ntng2
H04huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
C21huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
D01huNucEpPt19NCLTSOP5BIO,L3_Cux2_Prss12
B09huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
B19huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Tle4_Abo
D10huNucEpPt19NCLTSOP3BIO,L2_Cux2_Lamp5
E02huNucEpPt19NCNeuNLTSOP1,L4_Rorb_Arhgap15
G24huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
F03huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
H10huNucEpPt19NCMGELTSOPX,L2_3_Cux2_Frem3
H09huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Sema3a
D11huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
A02huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Pcp4
B02huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Sema3e
G10huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
G15huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
G04huNucEpPt19NCNeuNLTSOP4,L3_Cux2_Prss12
E15huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
D23huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Ntng2
D07huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
E11huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
F07huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
A01huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
C07huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Ntng2
A14huNucEpPt19NCNeuNLTSOP2,L3_Cux2_Prss12
A10huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
F14huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Sema3e
H10huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
A05huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
A07huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
B24huNucEpPt19NCNeuNLTSOP3,L4_Rorb_Met
B05huNucEpPt19NCNeuNLTSOP4,L3_Cux2_Prss12
F13huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
H08huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
A09huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Ntng2
D04huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
H02huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Ntng2
F23huNucEpPt19NCLTSOP5BIO,L3_Cux2_Prss12
B11huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
F11huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
H12huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
E16huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
A18huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
F02huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Htr2c
D14huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Sema3a
E03huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Pcp4
F18huNucEpPt19NCNeuNLTSOP2,L4_Rorb_Arhgap15
G17huNucEpPt19NCNeuNLTSOP2,L2_3_Cux2_Frem3
G09huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
B15huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
C13huNucEpPt19NCNeuNLTSOP2,L3_Cux2_Prss12
C01huNucEpPt19NCNeuNLTSOP3,L4_Rorb_Met
C11huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
A23huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Ntng2
G07huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
C07huNucEpPt19NCLTSOP3BIO,L5_6_Themis_Sema3a
C08huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Sema3a
F09huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Sema3e
G06huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
H04huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
E24huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Sema3e
B06huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Sema3e
C14huNucEpPt19NCNeuNLTSOP2,L2_3_Cux2_Frem3
C17huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
C09huNucEpPt19NCNeuNLTSOP1,L4_Rorb_Met
B04huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
E18huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Sema3e
H19huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
D11huNucEpPt19NCMGELTSOPX,L3_Cux2_Prss12
F20huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
F11huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
E14huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Tle4_Abo
F13huNucEpPt19NCNeuNLTSOP2,L4_Rorb_Mme
B10huNucEpPt19NCMGELTSOPX,L5_6_Themis_Sema3a
G12huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Ntng2
C03huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Sema3e
D15huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
C08huNucEpPt19NCNeuNLTSOP1,L4_Rorb_Met
A06huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Ntng2
E09huNucEpPt19NCNeuNLTSOP1,L2_3_Cux2_Frem3
D17huNucEpPt19NCNeuNLTSOP2,L4_Rorb_Met
E10huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
A08huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
F07huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Sema3a
D17huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
D03huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Sema3a
B14huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
B05huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Sema3a
H02huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
D24huNucEpPt19NCLTSOP5BIO,L2_Cux2_Lamp5
F09huNucEpPt19NCNeuNLTSOP4,L3_Cux2_Prss12
H01huNucEpPt19NCLTSOP5BIO,L3_Cux2_Prss12
B06huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
B04huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
A22huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
B10huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
F04huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Tle4_Abo
C23huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Htr2c
G07huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Tle4_Scube1
B08huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
C06huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Tle4_Abo
H07huNucEpPt19NCNeuNLTSOP4,L4_Rorb_Mme
G18huNucEpPt19NCLTSOP1BIO,L2_Cux2_Lamp5
G08huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
C14huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
B11huNucEpPt19NCMGELTSOPX,L2_3_Cux2_Frem3
G21huNucEpPt19NCNeuNLTSOP3,L4_Rorb_Arhgap15
G04huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Tle4_Abo
G22huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Pcp4
E08huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
H23huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Ntng2
C11huNucEpPt19NCMGELTSOPX,L5_6_Fezf2_Lrrk1_Pcp4
A11huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
C21huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Htr2c
E17huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Tle4_Htr2c
F22huNucEpPt19NCNeuNLTSOP3,L3_Cux2_Prss12
A01huNucEpPt19NCLTSOP5BIO,L5_6_Fezf2_Tle4_Abo
H07huNucEpPt19NCLTSOP3BIO,L2_Cux2_Lamp5
A09huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Sema3e
C11huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
C10huNucEpPt19NCMGELTSOPX,L5_6_Fezf2_Lrrk1_Pcp4
B18huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
E12huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Ntng2
F02huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Tle4_Abo
H18huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
G16huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
G08huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
C16huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Ntng2
D04huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Ntng2
E07huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
B17huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
H24huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Ntng2
A08huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
C19huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
H11huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Ntng2
B18huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
F12huNucEpPt19NCMGELTSOPX,L5_6_Fezf2_Lrrk1_Pcp4
A17huNucEpPt19NCNeuNLTSOP2,L2_3_Cux2_Frem3
B01huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
E16huNucEpPt19NCLTSOP1BIO,L4_Rorb_Arhgap15
E17huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
B09huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
E05huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
A19huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Ntng2
C04huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
G11huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
F16huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Sema3a
H05huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Tle4_Abo
D22huNucEpPt19NCLTSOP6BIO,L2_Cux2_Lamp5
G15huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
H09huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
D05huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Ntng2
F08huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
C08huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
A24huNucEpPt19NCLTSOP5BIO,L5_6_Fezf2_Lrrk1_Pcp4
H01huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Ntng2
C07huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
G16huNucEpPt19NCNeuNLTSOP2,Vip_Sstr1
H21huNucEpPt19NCLTSOP6BIO,L5_6_Themis_Sema3a
F04huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
H17huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
F05huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
B04huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
F14huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
F21huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
G21huNucEpPt19NCLTSOP6BIO,L5_6_Themis_Sema3a
C13huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
A23huNucEpPt19NCLTSOP6BIO,L2_Cux2_Lamp5
H11huNucEpPt19NCMGELTSOPX,L3_Cux2_Prss12
F05huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
G14huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
B17huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
D16huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
D06huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
B08huNucEpPt19NCLTSOP3BIO,L2_3_Cux2_Frem3
G08huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Ntng2
C02huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
A19huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
G10huNucEpPt19NCMGELTSOPX,L3_Cux2_Prss12
B20huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
B16huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
A18huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
E08huNucEpPt19NCNeuNLTSOP1,L4_Rorb_Met
G23huNucEpPt19NCLTSOP5BIO,L5_6_Themis_Sema3a
F19huNucEpPt19NCLTSOP1BIO,L2_3_Cux2_Frem3
A20huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
C06huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
D09huNucEpPt19NCNeuNLTSOP1,L2_3_Cux2_Frem3
F04huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Tle4_Abo
H22huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
E10huNucEpPt19NCMGELTSOPX,L3_Cux2_Prss12
D13huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
F24huNucEpPt19NCNeuNLTSOP3,L4_Rorb_Arhgap15
D05huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Sema3e
F11huNucEpPt19NCMGELTSOPX,L2_Cux2_Lamp5
A22huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Sema3e
E06huNucEpPt19NCNeuNLTSOP4,L2_Cux2_Lamp5
B21huNucEpPt19NCNeuNLTSOP3,L2_3_Cux2_Frem3
F01huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Abo
H10huNucEpPt19NCNeuNLTSOP1,L2_Cux2_Lamp5
D20huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Sema3e
A13huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
E19huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
H04huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Sema3a
D02huNucEpPt19NCNeuNLTSOP1,L4_Rorb_Met
H03huNucEpPt19NCNeuNLTSOP1,L4_Rorb_Met
A24huNucEpPt19NCNeuNLTSOP3,L3_Cux2_Prss12
D19huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Tle4_Abo
E05huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
B22huNucEpPt19NCLTSOP6BIO,L3_Cux2_Prss12
E13huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
C04huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Sema3a
H11huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
D13huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
F10huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
H19huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
C18huNucEpPt19NCLTSOP1BIO,L5_6_Themis_Sema3a
G03huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Tle4_Scube1
D01huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Htr2c
G02huNucEpPt19NCNeuNLTSOP1,L3_Cux2_Prss12
F01huNucEpPt19NCLTSOP5BIO,L2_Cux2_Lamp5
D09huNucEpPt19NCLTSOP3BIO,L5_6_Themis_Sema3a
A13huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Tle4_Htr2c
C15huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
E09huNucEpPt19NCNeuNLTSOP4,L5_6_Themis_Sema3a
B05huNucEpPt19NCLTSOP3BIO,L3_Cux2_Prss12
H13huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Sema3e
F17huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Tle4_Abo
G07huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
E23huNucEpPt19NCLTSOP5BIO,L5_6_Fezf2_Lrrk1_Pcp4
A04huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Sema3e
H14huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
C12huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
F06huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Sema3e
B24huNucEpPt19NCLTSOP5BIO,L3_Cux2_Prss12
C04huNucEpPt19NCNeuNLTSOP1,L2_3_Cux2_Frem3
H15huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
D06huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Sema3e
E02huNucEpPt19NCNeuNLTSOP3,L5_6_Themis_Sema3a
D12huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
E20huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
G13huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Tle4_Abo
B14huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Sema3a
F24huNucEpPt19NCLTSOP5BIO,L2_Cux2_Lamp5
G04huNucEpPt19NCLTSOP3BIO,L5_6_Themis_Ntng2
B22huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
E07huNucEpPt19NCNeuNLTSOP1,L2_3_Cux2_Frem3
D23huNucEpPt19NCLTSOP5BIO,L3_Cux2_Prss12
G14huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Pcp4
B08huNucEpPt19NCNeuNLTSOP4,L5_6_Fezf2_Lrrk1_Pcp4
G18huNucEpPt19NCNeuNLTSOP2,L5_6_Fezf2_Lrrk1_Sema3e
B12huNucEpPt19NCLTSOP1BIO,L2_Cux2_Lamp5
B06huNucEpPt19NCLTSOP3BIO,L5_6_Fezf2_Lrrk1_Pcp4
B13huNucEpPt19NCLTSOP1BIO,L5_6_Fezf2_Lrrk1_Pcp4
C22huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Tle4_Scube1
F21huNucEpPt19NCNeuNLTSOP3,L5_6_Fezf2_Lrrk1_Sema3e
D06huNucEpPt19NCNeuNLTSOP1,L5_6_Themis_Ntng2
D19huNucEpPt19NCLTSOP1BIO,L3_Cux2_Prss12
D22huNucEpPt19NCNeuNLTSOP3,L2_Cux2_Lamp5
F15huNucEpPt19NCNeuNLTSOP2,L5_6_Themis_Sema3a
D11huNucEpPt19NCNeuNLTSOP1,L5_6_Fezf2_Lrrk1_Pcp4
E19huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
H16huNucEpPt19NCNeuNLTSOP2,L2_Cux2_Lamp5
