Cell,Type
G04HB47NeoCP4,Id2_Nckap5
G05HB47NeoCP4,Id2_Lamp5_Crh
G07HB47NeoCP4BSA,Pvalb_Sulf1
G08HB47NeoCP6BSA,Pvalb_Crh
G09HB47NeoCP6BSA,Id2_Pax6
G12HB47NeoCP6BSA,Vip_Abi3bp
G13HB47NeoCP6BSA,Sst_Stk32a
G14HB47NeoCP6BSA,Sst_Tac3
G17HB47NeoCP7,Vip_Sstr1
G19HB47NeoCP7,Sst_Nos1
G20HB47NeoCP7,Pvalb_Sulf1
G24HB47NeoCP7,Pvalb_Sulf1
H03HB47NeoCP4,Vip_Nrg1
H04HB47NeoCP4,Pvalb_Sulf1
H05HB47NeoCP4,Id2_Lamp5_Crh
H08HB47NeoCP6BSA,Vip_Cbln1
H09HB47NeoCP6BSA,Pvalb_Sulf1
H10HB47NeoCP6BSA,Sst_Stk32a
H11HB47NeoCP6BSA,Pvalb_Sulf1
H12HB47NeoCP6BSA,Vip_Crh
H13HB47NeoCP6BSA,Vip_Abi3bp
H16HB47NeoCP7,Pvalb_Sulf1
H18HB47NeoCP7,Vip_Tyr
H19HB47NeoCP7,Pvalb_Nos1
H20HB47NeoCP7,Sst_Calb1
H21HB47NeoCP7,Pvalb_Sulf1
H22HB47NeoCP7,Sst_Calb1
H24HB47NeoCP7,Pvalb_Sulf1
A01HB47NeoCP8,Id2_Lamp5_Nos1
A02HB47NeoCP8,Pvalb_Sulf1
A03HB47NeoCP8,Id2_Pax6
A05HB47NeoCP8,Sst_Nos1
A06HB47NeoCP8,Vip_Abi3bp
A07HB47NeoCP8,Vip_Sstr1
A10HB47NeoCP8,Vip_Crh
A11HB47NeoCP8,Pvalb_Sulf1
A14HB47NeoCP9,Sst_Calb1
A18HB47NeoCP10,Pvalb_Sulf1
A19HB47NeoCP10,Sst_Tac1
A20HB47NeoCP10,Pvalb_Crh
A22HB47NeoCP10,Id2_Lamp5_Crh
A23HB47NeoCP11,Pvalb_Lgr5
A24HB47NeoCP11,Sst_Nos1
B01HB47NeoCP8,Sst_Stk32a
B02HB47NeoCP8,Pvalb_Crh
